# T	298.15000
# V0	1416.60000
# Cell	Macromolecule	0.00622833E-3
# Syringe	Ligand	0.645E-3
# Ivol	dQ_exp
3	-17.8636453
5	-36.8180725
5	-37.2829754
5	-37.34203256
5	-37.35402828
5	-37.04245236
5	-36.96111017
5	-36.9610678
5	-36.80728076
5	-36.3121091
5	-38.58808151
5	-36.23735363
5	-36.72474532
5	-35.66230393
5	-35.24716381
5	-34.76421882
5	-33.9197124
5	-32.97678434
5	-31.38505516
5	-28.02653446
5	-22.43341881
5	-15.43200653
5	-8.865553371
5	-5.484178573
5	-3.332787848
5	-2.325417744
5	-1.823795299
5	-1.304772825
5	-0.914524274
5	-0.963656924
5	-0.803885037
5	-0.594006167
5	-0.42523427
5	-0.411528297
5	-0.472574033
5	-0.445696585
5	-0.358348392
5	-0.468729209
5	-0.236281199
5	-0.344885368
5	-0.210197955
5	-0.144861273
5	-0.234251753
5	-0.329946478
5	-0.217524824
5	-0.047360014
5	0.069901135
5	-0.05963239
5	-0.074008727
5	-0.133825426
5	-0.087052491
5	0.073947232
5	-0.121518046
5	-0.039322774
5	0.128958825
5	0.242552663
